PostDate,State,CountIDIndexed
01-03-2020,AK,1
01-03-2020,AL,1
01-03-2020,AR,1
01-03-2020,AZ,1
01-03-2020,CA,1
01-03-2020,CO,1
01-03-2020,CT,1
01-03-2020,DC,1
01-03-2020,DE,1
01-03-2020,FL,1
01-03-2020,GA,1
01-03-2020,HI,1
01-03-2020,IA,1
01-03-2020,ID,1
01-03-2020,IL,1
01-03-2020,IN,1
01-03-2020,KS,1
01-03-2020,KY,1
01-03-2020,LA,1
01-03-2020,MA,1
01-03-2020,MD,1
01-03-2020,ME,1
01-03-2020,MI,1
01-03-2020,MN,1
01-03-2020,MO,1
01-03-2020,MS,1
01-03-2020,MT,1
01-03-2020,NC,1
01-03-2020,ND,1
01-03-2020,NE,1
01-03-2020,NH,1
01-03-2020,NJ,1
01-03-2020,NM,1
01-03-2020,NV,1
01-03-2020,NY,1
01-03-2020,OH,1
01-03-2020,OK,1
01-03-2020,OR,1
01-03-2020,PA,1
01-03-2020,Pi,1
01-03-2020,PR,1
01-03-2020,RI,1
01-03-2020,SC,1
01-03-2020,SD,1
01-03-2020,Sh,1
01-03-2020,St,1
01-03-2020,TN,1
01-03-2020,TX,1
01-03-2020,Un,1
01-03-2020,UT,1
01-03-2020,VA,1
01-03-2020,VI,1
01-03-2020,VT,1
01-03-2020,WA,1
01-03-2020,WI,1
01-03-2020,WV,1
01-03-2020,WY,1
02-03-2020,AK,0.9743
02-03-2020,AL,1.0065
02-03-2020,AR,1.0237
02-03-2020,AS,0
02-03-2020,AZ,1.012
02-03-2020,CA,1.0062
02-03-2020,CO,1.0194
02-03-2020,CT,1.0284
02-03-2020,DC,0.9894
02-03-2020,DE,1.0247
02-03-2020,FL,1.0068
02-03-2020,GA,1.0075
02-03-2020,GU,0
02-03-2020,HI,1.0383
02-03-2020,IA,1.0119
02-03-2020,ID,1.0326
02-03-2020,IL,1.015
02-03-2020,IN,1.015
02-03-2020,KS,1.0264
02-03-2020,KY,1.0351
02-03-2020,LA,1.0405
02-03-2020,Ly,0
02-03-2020,MA,1.0089
02-03-2020,MD,1.0107
02-03-2020,ME,1.0118
02-03-2020,MI,1.0106
02-03-2020,MN,1.0134
02-03-2020,MO,1.0008
02-03-2020,MP,0
02-03-2020,MS,1.0388
02-03-2020,MT,0.9713
02-03-2020,NC,1.0116
