PostDate,Industry,CountIdIndexed
01-03-2020,Unknown,1
01-03-2020,Communication,1
01-03-2020,Construction,1
01-03-2020,Energy,1
01-03-2020,Entertainment,1
01-03-2020,Financial Services,1
01-03-2020,Healthcare,1
01-03-2020,Hospitality,1
01-03-2020,Insurance,1
01-03-2020,Manufacturing,1
01-03-2020,Mining,1
01-03-2020,Real Estate,1
01-03-2020,Retail,1
01-03-2020,Services,1
01-03-2020,Transportation,1
01-03-2020,Wholesale,1
02-03-2020,Unknown,1.0052
02-03-2020,Communication,1.0521
02-03-2020,Construction,1.0075
02-03-2020,Energy,1.0231
02-03-2020,Entertainment,0.8964
02-03-2020,Financial Services,0.9924
02-03-2020,Healthcare,0.9667
02-03-2020,Hospitality,1.0851
02-03-2020,Insurance,1.0102
02-03-2020,Manufacturing,0.9927
02-03-2020,Mining,0.9684
02-03-2020,Real Estate,1.0086
02-03-2020,Retail,1.0306
02-03-2020,Services,1.0202
02-03-2020,Transportation,1.0617
02-03-2020,Wholesale,1.0617
03-03-2020,Unknown,1.0252
03-03-2020,Communication,1.0417
03-03-2020,Construction,1.0394
03-03-2020,Energy,1.093
03-03-2020,Entertainment,0.9726
03-03-2020,Financial Services,0.9759
03-03-2020,Healthcare,0.9631
03-03-2020,Hospitality,1.0707
03-03-2020,Insurance,0.9957
03-03-2020,Manufacturing,0.9857
03-03-2020,Mining,0.9788
03-03-2020,Real Estate,0.9875
03-03-2020,Retail,1.0545
03-03-2020,Services,1.0229
03-03-2020,Transportation,1.0946
03-03-2020,Wholesale,1.0768
04-03-2020,Unknown,1.051
04-03-2020,Communication,1.0626
04-03-2020,Construction,1.0828
04-03-2020,Energy,1.1004
04-03-2020,Entertainment,1.0192
04-03-2020,Financial Services,0.9804
04-03-2020,Healthcare,0.9893
04-03-2020,Hospitality,1.0705
04-03-2020,Insurance,1.0332
04-03-2020,Manufacturing,0.9996
04-03-2020,Mining,0.9905
04-03-2020,Real Estate,1.0038
04-03-2020,Retail,1.0748
04-03-2020,Services,1.0504
04-03-2020,Transportation,1.1038
04-03-2020,Wholesale,1.1033
05-03-2020,Unknown,1.0575
05-03-2020,Communication,1.1222
05-03-2020,Construction,1.0891
05-03-2020,Energy,1.095
05-03-2020,Entertainment,1.039
05-03-2020,Financial Services,0.9844
05-03-2020,Healthcare,1.0138
05-03-2020,Hospitality,1.0582
05-03-2020,Insurance,1.0619
05-03-2020,Manufacturing,1.0093
05-03-2020,Mining,0.9692
05-03-2020,Real Estate,0.9896
05-03-2020,Retail,1.0974
05-03-2020,Services,1.0682
