PostDate,JobFamily,CountIdIndexed
01-03-2020,Customer Service,1
01-03-2020,Entertainment and Recreation,1
01-03-2020,Facilities/Constr,1
01-03-2020,Finance/Insurance,1
01-03-2020,Food & Beverage,1
01-03-2020,Healthcare,1
01-03-2020,Hospitality Staff,1
01-03-2020,Human Resources,1
01-03-2020,IT,1
01-03-2020,Manufacturing/Operations Staff,1
01-03-2020,Marketing/Advertising,1
01-03-2020,Product Management,1
01-03-2020,Retail Staff,1
01-03-2020,Sales,1
01-03-2020,Security,1
01-03-2020,Skilled Trades,1
01-03-2020,Supply Chain Staff,1
01-03-2020,Unassigned,1
02-03-2020,Customer Service,1.0181
02-03-2020,Entertainment and Recreation,1.0209
02-03-2020,Facilities/Constr,1.0012
02-03-2020,Finance/Insurance,0.9984
02-03-2020,Food & Beverage,1.0266
02-03-2020,Healthcare,0.9955
02-03-2020,Hospitality Staff,1.0144
02-03-2020,Human Resources,0.9949
02-03-2020,IT,1.0054
02-03-2020,Manufacturing/Operations Staff,0.9985
02-03-2020,Marketing/Advertising,1.0021
02-03-2020,Product Management,1.005
02-03-2020,Retail Staff,1.0162
02-03-2020,Sales,1.0073
02-03-2020,Security,1.0111
02-03-2020,Skilled Trades,0.9951
02-03-2020,Supply Chain Staff,1.0327
02-03-2020,Unassigned,1.01
03-03-2020,Customer Service,1.0222
03-03-2020,Entertainment and Recreation,1.0404
03-03-2020,Facilities/Constr,1.0168
03-03-2020,Finance/Insurance,1
03-03-2020,Food & Beverage,1.0313
03-03-2020,Healthcare,0.9998
03-03-2020,Hospitality Staff,1.0416
03-03-2020,Human Resources,0.9869
03-03-2020,IT,1.0106
03-03-2020,Manufacturing/Operations Staff,1.0158
03-03-2020,Marketing/Advertising,1.0042
03-03-2020,Product Management,1.022
03-03-2020,Retail Staff,1.0191
03-03-2020,Sales,0.9986
03-03-2020,Security,1.0232
03-03-2020,Skilled Trades,1.0127
03-03-2020,Supply Chain Staff,1.0748
03-03-2020,Unassigned,1.0223
04-03-2020,Customer Service,1.063
04-03-2020,Entertainment and Recreation,1.0504
04-03-2020,Facilities/Constr,1.0366
04-03-2020,Finance/Insurance,1.0194
04-03-2020,Food & Beverage,1.0534
04-03-2020,Healthcare,1.0228
04-03-2020,Hospitality Staff,1.0698
04-03-2020,Human Resources,1.0276
04-03-2020,IT,1.0287
04-03-2020,Manufacturing/Operations Staff,1.0415
04-03-2020,Marketing/Advertising,1.0289
04-03-2020,Product Management,1.0526
04-03-2020,Retail Staff,1.0477
04-03-2020,Sales,1.0188
04-03-2020,Security,1.0479
04-03-2020,Skilled Trades,1.0383
04-03-2020,Supply Chain Staff,1.1127
04-03-2020,Unassigned,1.0461
05-03-2020,Customer Service,1.0782
05-03-2020,Entertainment and Recreation,1.0522
05-03-2020,Facilities/Constr,1.0461
05-03-2020,Finance/Insurance,1.0246
05-03-2020,Food & Beverage,1.0616
05-03-2020,Healthcare,1.0461
05-03-2020,Hospitality Staff,1.0716
05-03-2020,Human Resources,1.0231
05-03-2020,IT,1.0388
05-03-2020,Manufacturing/Operations Staff,1.048
05-03-2020,Marketing/Advertising,1.0299
